event_id,sta_code,p_polarity,event_id2,origin_lat,origin_lon,origin_depth_km,sr_dist_km,takeoff,azimuth,takeoff_uncertainty,azimuth_uncertainty,source,horz_uncert_km,vert_uncert_km,station_lat,station_lon,station_depth_km,pol_agreement,mech_quality,pol_agreement_weighted
nc40214567,ME31.01.BHZ,-1.0,nc40214567,40.6742,-123.9242,19.56,5.652,23.2558,340.1127,1.1793,-0.0,con_p,1.0,1.0,40.722,-123.946999,-0.82,1,A,1.0
nc40214567,ME32.01.BHZ,-1.0,nc40214567,40.6742,-123.9242,19.56,10.791,41.9441,149.3666,1.9475,-0.0,con_p,1.0,1.0,40.590698,-123.859001,-0.711,1,A,1.0
nc40214567,JCC.--.HHZ,-1.0,nc40214567,40.6742,-123.9242,19.56,18.24,63.3521,330.849,2.5783,-0.0,con_p,1.0,1.0,40.817451,-124.029549,-0.0272,1,A,1.0
nc40214567,ME33.01.BHZ,1.0,nc40214567,40.6742,-123.9242,19.56,23.627,74.8705,154.1394,2.9061,-0.0,con_p,1.0,1.0,40.483002,-123.802002,-0.367,1,A,1.0
nc40214567,KHMB.--.HHZ,-1.0,nc40214567,40.6742,-123.9242,19.56,27.54,81.7238,35.9281,3.2924,-0.0,con_p,1.0,1.0,40.874748,-123.73259,-1.501,0,A,0.0
nc40214567,KCR.--.SHZ,1.0,nc40214567,40.6742,-123.9242,19.56,28.902,83.7066,162.4109,3.3981,-0.0,con_p,1.0,1.0,40.426441,-123.820641,-0.873,1,A,1.0
nc40214567,ME34.01.BHZ,1.0,nc40214567,40.6742,-123.9242,19.56,27.287,81.2972,218.8148,3.2612,-0.0,con_p,1.0,1.0,40.483002,-124.126999,-0.244,1,A,1.0
nc40214567,ME30.01.BHZ,1.0,nc40214567,40.6742,-123.9242,19.56,35.638,91.6579,58.217,4.313,0.0,con_p,1.0,1.0,40.842999,-123.565002,-0.237,1,A,1.0
nc40214567,ME35.01.BHZ,1.0,nc40214567,40.6742,-123.9242,19.56,25.94,79.0254,145.0491,3.0976,-0.0,con_p,1.0,1.0,40.483002,-123.748001,-0.369,1,A,1.0
nc40214567,KCS.--.SHZ,1.0,nc40214567,40.6742,-123.9242,19.56,37.774,93.8074,113.6542,4.6203,-0.0,con_p,1.0,1.0,40.53791,-123.513939,-1.64,1,A,1.0
